SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/79.13; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/60.313; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/60.271; U; ar) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/90.176; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.386; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/69.240; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/61.485; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.7708; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/88.25; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/61.445; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/37.9261; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.7549; U; ta) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/57.135; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/65.268; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/67.440; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.318; U; or) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8949; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/121.103; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/62.178; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/71.127; U; fa) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/37.8773; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.299; U; mr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/101.24; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.247; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/62.178; U; bn) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/105.76; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.6652; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/64.228; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/59.323; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/60.313; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/93.131; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/121.103; U; ar) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/37.8433; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.445; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40337/65.229; U; ru) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/66.234; U; ar) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.35844/71.132; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/77.161; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/73.114; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/69.240; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/58.167; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/58.203; U; en) Presto/2.12.423 Version/12.16
UCWEB/2.0 (Java; U; MIDP-2.0; en-US; samsung-sm-b350e) U2/1.0.0 UCBrowser/9.2.0.311 U2/1.0.0 Mobile UNTRUSTED/1.0
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/71.119; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.247; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/59.297; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/65.268; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/66.234; U; fr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.377; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8993; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/123.47; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/57.135; U; ar) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/62.223; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40336/71.132; U; fa) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/62.178; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/98.21; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/69.162; U; mr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/60.313; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/101.31; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.406; U; gu) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/76.171; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/65.257; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/61.485; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40356/77.161; U; tr) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/67.406; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/37.8346; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/66.330; U; hi) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/59.297; U; en) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40326/63.203; U; gu) Presto/2.12.423 Version/12.16
SAMSUNG-SM-B350E Opera/9.80 (J2ME/MIDP; Opera Mini/8.0.40379/65.257; U; fr) Presto/2.12.423 Version/12.16
